RE102 limit (X);RE102 limit (Y);RE102 limit (Helicopter) (X);RE102 limit (Helicopter) (Y);RE102 limit (Large Aircraft) (X);RE102 limit (Large Aircraft) (Y);Trace 1  (X);Trace 1  (Y)
286756592,8406;43,1289;286756592,8406;33,1289;286756592,8406;53,1289;40000000,0000;20,3103
289357657,6870;43,2071;289357657,6870;33,2071;289357657,6870;53,2071;40040000,0000;20,5704
291982315,8474;43,2854;291982315,8474;33,2854;291982315,8474;53,2854;40080000,0000;19,0652
294630781,3283;43,3636;294630781,3283;33,3636;294630781,3283;53,3636;40120000,0000;20,0086
297303270,0770;43,4419;297303270,0770;33,4419;297303270,0770;53,4419;40160000,0000;19,5915
300000000,0000;43,5201;300000000,0000;33,5201;300000000,0000;53,5201;40200000,0000;20,2583
;;;;;;40240000,0000;19,0236
;;;;;;40280000,0000;17,7706
;;;;;;40320000,0000;19,5499
;;;;;;40360000,0000;19,8100
;;;;;;40400000,0000;20,0721
;;;;;;40440000,0000;25,9636
;;;;;;40480000,0000;26,7444
;;;;;;40520000,0000;24,7795
;;;;;;40560000,0000;28,7024
;;;;;;40600000,0000;26,7132
;;;;;;40640000,0000;22,2895
;;;;;;40680000,0000;22,0249
;;;;;;40720000,0000;23,9466
;;;;;;40760000,0000;22,5105
;;;;;;40800000,0000;20,5091
;;;;;;40840000,0000;22,9961
;;;;;;40880000,0000;20,6225
;;;;;;40920000,0000;19,9369
;;;;;;40960000,0000;19,7902
;;;;;;41000000,0000;20,3208
;;;;;;41040000,0000;21,6629
;;;;;;41080000,0000;19,2160
;;;;;;41120000,0000;19,6124
;;;;;;41160000,0000;20,6860
;;;;;;41200000,0000;20,8118
;;;;;;41240000,0000;20,6652
;;;;;;41280000,0000;21,7347
;;;;;;41320000,0000;21,0511
;;;;;;41360000,0000;20,4977
;;;;;;41400000,0000;20,3531
;;;;;;41440000,0000;19,5292
;;;;;;41480000,0000;20,3323
;;;;;;41520000,0000;20,0494
;;;;;;41560000,0000;20,9887
;;;;;;41600000,0000;20,3011
;;;;;;41640000,0000;20,0182
;;;;;;41680000,0000;19,8735
;;;;;;41720000,0000;22,3870
;;;;;;41760000,0000;20,5300
;;;;;;41800000,0000;20,1128
;;;;;;41840000,0000;21,1844
;;;;;;41880000,0000;21,9671
;;;;;;41920000,0000;24,2854
;;;;;;41960000,0000;24,0147
;;;;;;42000000,0000;24,3947
;;;;;;42040000,0000;28,7081
;;;;;;42080000,0000;28,3072
;;;;;;42120000,0000;24,4917
;;;;;;42160000,0000;21,3717
;;;;;;42200000,0000;22,1361
;;;;;;42240000,0000;21,4851
;;;;;;42280000,0000;24,1918
;;;;;;42320000,0000;27,1954
;;;;;;42360000,0000;22,9934
;;;;;;42400000,0000;28,8728
;;;;;;42440000,0000;26,1026
;;;;;;42480000,0000;24,0096
;;;;;;42520000,0000;24,2595
;;;;;;42560000,0000;23,4682
